scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_actual_out,victim_min_out,victim_extra_loss,reverted,price_after_front,is_optimal
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,889.6718401498667,-5.283301549462635,969.9348459413008,977.2864540530907,17.223188455760578,1,0.982467223196256,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,899.8979532550376,-5.343490757006293,969.7395058541211,977.2864540530907,17.41852854294018,1,0.9822683849947945,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,910.1240663602084,-5.4036678379725345,969.5442247720241,977.2864540530907,17.61380962503722,1,0.9820696071505516,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,920.3501794653794,-5.463832796025258,969.3490026712474,977.2864540530907,17.809031725813952,1,0.9818708896391006,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,930.5762925705502,-5.523985634827682,969.1538395280409,977.2864540530907,18.004194869020466,1,0.9816722324360284,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,940.802405675721,-5.584126358041203,968.9587353186663,977.2864540530907,18.19929907839503,1,0.981473635516933,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,951.028518780892,-5.64425496932563,968.7636900193976,977.2864540530907,18.394344377663742,1,0.9812750988574258,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,961.2546318860628,-5.704371472339631,968.5687036065204,977.2864540530907,18.589330790540885,1,0.9810766224331299,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,971.4807449912338,-5.764475870740284,968.3737760563325,977.2864540530907,18.784258340728798,1,0.9808782062196811,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,981.7068580964046,-5.824568168183191,968.1789073451434,977.2864540530907,18.979127051917885,1,0.9806798501927272,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,991.9329712015755,-5.884648368322701,967.9840974492747,977.2864540530907,19.173936947786615,1,0.9804815543279285,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1002.1590843067464,-5.944716474810434,967.7893463450596,977.2864540530907,19.368688052001744,1,0.9802833186009574,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1012.3851974119173,-6.004772491298922,967.5946540088437,977.2864540530907,19.563380388217638,1,0.980085142987499,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1022.6113105170882,-6.064816421436603,967.400020416984,977.2864540530907,19.758013980077294,1,0.9798870274632503,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1032.837423622259,-6.124848268872711,967.2054455458497,977.2864540530907,19.952588851211658,1,0.9796889720039207,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1043.06353672743,-6.184868037253864,967.0109293718219,977.2864540530907,20.147105025239398,1,0.979490976585232,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1053.2896498326008,-6.244875730224521,966.8164718712931,977.2864540530907,20.341562525768268,1,0.979293041182918,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,1063.5157629377718,-6.304871351429256,966.6220730206683,977.2864540530907,20.53596137639306,1,0.979095165772725,0
